VannKraftverkID,Navn,VannKVType,VannKVTypeID,HovedEier,HovedEier_OrgNr,Fylke,FylkesNr,Kommune,KommuneNr,ForsteUtnyttelseAvFalletDato,DatoForEldsteKraftproduserendeDel,MaksYtelse,MidProd_91_20,BruttoFallhoyde_M,Slukeevne,EnEkv,ElspotomraadeNummer,RegineNr,ErIDrift,IDriftDato,Konsesjoner,Kraftverkstatus,NVEOmraadeID,NVEOmraadeNavn,Nedborsfeltnavn,SPPunkt,SPSone,UnderBygging,UteAvDrift,VassdragsOmraadeID,VassdragsOmraadeNavn
1206,Cabardasjohka,Kraftverk,K,YMBER PRODUKSJON AS,913680294,Finnmark,56,Kautokeino,12,1953,2003,0.7,3.138,5.5,14.0,,4,212.GA4,True,2003-10-22T00:00:00,"[{'KdbID': 3621, 'Tittel': 'Rehabilitering av Cabardasjohka kraftverk'}]",Idrift,,,Altavassdraget,,853,False,,12,NVE - område: 12
1149,Cermaq Norway AS avd. Dyping,Kraftverk,K,CERMAQ NORWAY AS,961922976,Nordland,18,Steigen,48,2002,2002,0.15,0.935,,,,4,169.52,True,2002-01-01T00:00:00,"[{'KdbID': 2920, 'Tittel': 'Smolt 2000, vannuttak og regulering av Dypingsvatn i Steigen komm.'}]",Idrift,,,KYSTFELT,,999,False,,10,NVE - område: 10
615,Corrojavrrit,Kraftverk,K,YMBER PRODUKSJON AS,913680294,Troms,55,Kvænangen,46,1990,1990,1.7,6.003,42.0,4.71,0.1,4,209.4AB,True,1990-11-04T00:00:00,"[{'KdbID': 682, 'Tittel': 'Erverv av bruksrett til fall i Njemenjaikujåkka'}, {'KdbID': 7546, 'Tittel': 'Revisjon av konsesjonsvilkår - Kvænangen'}]",Idrift,,,Abojohka,04,834,False,,12,NVE - område: 12
2131,Dagsvikelva,Kraftverk,K,DAGSVIKELVA KRAFT AS,911605430,Nordland,18,Leirfjord,22,2025,2025,2.2,7.4,134.0,1.97,0.31,4,153.11Z,True,2025-02-27T00:00:00,"[{'KdbID': 5753, 'Tittel': 'Dagsvikelva kraftverk'}]",Idrift,,,Dagsvikelva,,999,False,,10,NVE - område: 10
1428,Dahlefoss,Kraftverk,K,SMÅKRAFT AS,984616155,Trøndelag,50,Flatanger,49,2009,2009,0.98,2.048,16.7,7.5,0.036,3,137.7Z,True,2009-08-01T00:00:00,"[{'KdbID': 2996, 'Tittel': 'Ny Dahlefoss kraftstasjon'}]",Idrift,,,Lauvsnesvassdraget,03,566,False,,9,NVE - område: 9
55,Daja,Kraftverk,K,SKS PRODUKSJON AS,915637353,Nordland,18,Fauske – Fuossko,41,1958,1958,30.0,178.663,155.0,24.0,0.347,4,164.E3,True,1958-01-01T00:00:00,"[{'KdbID': 2665, 'Tittel': 'Endr. slukeevne Daja kraftverk'}, {'KdbID': 2825, 'Tittel': 'Daja kraftverk brukettskonsesjon og ekspropriasjon av bruksrett, overf av regkons'}]",Idrift,,,Sulitjelmavassdraget,12,698,False,,10,NVE - område: 10
1735,Dalabekken,Kraftverk,K,OLE PETTER ESTENSTAD,992199016,Trøndelag,50,Melhus,28,2009,2009,0.022,0.06,50.0,0.074,0.083,3,122.2D,True,2009-11-19T00:00:00,"[{'KdbID': 5947, 'Tittel': 'Dalabekken mikrokraftverk'}]",Idrift,,,Vigda,,497,False,,8,NVE - område: 8
954,Dalane,Kraftverk,K,TUSSA ENERGI AS,876795442,Vestland,46,Stryn,51,1920,2017,1.44,5.512,118.3,1.4,0.286,3,089.B7D,True,2017-12-08T00:00:00,"[{'KdbID': 281, 'Tittel': 'Ytterligere regulering av Svingesetvatn i Dalaelv (Eidselv)'}, {'KdbID': 307, 'Tittel': 'Overf. av Vikaelvas øvre del til Svingesetvatn i Daleelv (Eidselv)'}, {'KdbID': 6262, 'Tittel': 'Dalane kraftverk - opprusting/utviding'}]",Idrift,,,Hornindalsvassdraget,,999,False,,8,NVE - område: 8
1593,Dalbygda,Kraftverk,K,DALBYGDA MINIKRAFT AS,977272106,Rogaland,11,Tysvær,46,2010,2010,0.3,0.638,,,,2,039.22,True,2010-03-19T00:00:00,"[{'KdbID': 4435, 'Tittel': 'Dalselva minikraftverk'}]",Idrift,,,KYSTFELT,,999,False,,5,NVE - område: 5
608,Dale,Kraftverk,K,TUSSA ENERGI AS,876795442,Møre og Romsdal,15,Volda,77,1990,1990,5.2,23.083,618.87,1.0,1.444,3,094.2AB,True,1990-10-01T00:00:00,"[{'KdbID': 635, 'Tittel': 'Erverv og regulering i Litlebøelva, Møre og Romsdal'}, {'KdbID': 1854, 'Tittel': 'Endring av konsesjonspålagt minstevannf., Dale kr.v. i Litlebøelva'}]",Idrift,,,Ripsdalselva,01,391,False,,13,NVE - område: 13
836,Dale,Kraftverk,K,DALE KRAFT AS,919751134,Vestland,46,Sogndal,40,2005,2005,2.95,11.273,265.0,1.325,0.618,5,078.62Z,True,2005-07-01T00:00:00,"[{'KdbID': 3502, 'Tittel': 'Daleelva småkraftverk'}]",Idrift,,,Daleelvi,01,320,False,,7,NVE - område: 7
56,Dale II,Kraftverk,K,EVINY FORNYBAR AS,876944642,Vestland,46,Vaksdal,28,1927,1990,147.0,686.258,375.0,45.0,0.907,5,061.A,True,1990-07-01T00:00:00,"[{'KdbID': 313, 'Tittel': 'Endr. manøvreringsregl. for Bergsdalsvassdraget - minstevannf.'}, {'KdbID': 627, 'Tittel': 'Ombygging av Dale kraftverk'}, {'KdbID': 8029, 'Tittel': 'Revisjon av konsesjonsvilkår - Bergsdals- og Torfinnsvassdragene'}]",Idrift,,,Bergsdalsvassdraget,01,253,False,,6,NVE - område: 6
1567,Dalegjerdet,Kraftverk,K,TUSSA ENERGI AS,876795442,Møre og Romsdal,15,Ørsta,20,2012,2012,2.3,4.011,191.6,1.3,0.491,3,097.11Z,True,2012-06-21T00:00:00,"[{'KdbID': 4273, 'Tittel': 'Dalegjerdet kraftverk'}]",Idrift,,,Standalelva,02,398,False,,8,NVE - område: 8
1547,Dalelva,Kraftverk,K,DALELVO KRAFT AS,993320013,Vestland,46,Kvinnherad,17,2010,2010,3.1,8.859,137.0,2.6,0.331,2,046.42Z,True,2010-08-31T00:00:00,"[{'KdbID': 4940, 'Tittel': 'Dalelva kraftverk'}]",Idrift,,,Dalelva,01,205,False,,5,NVE - område: 5
1594,Dalelva,Kraftverk,K,MIDT KRAFT AS,931652176,Vestland,46,Fjaler,46,2006,2006,0.9,2.612,125.0,0.87,0.287,3,082.5C,True,2006-06-01T00:00:00,"[{'KdbID': 8120, 'Tittel': 'Daleelva minikraftverk'}]",Idrift,,,Storelva,,335,False,,13,NVE - område: 13
2076,Dalelva,Kraftverk,K,MIDT KRAFT AS,931652176,Vestland,46,Masfjorden,34,2022,2022,1.7,5.2,114.0,1.75,0.27,5,067.2A1C4,True,2022-11-10T00:00:00,"[{'KdbID': 5248, 'Tittel': 'Dalelva kraftverk'}]",Idrift,,,Haugsdalsvassdraget,16,265,False,,6,NVE - område: 6
190,Dalen 1,Kraftverk,K,JØRPELAND KRAFT AS,962130453,Rogaland,11,Strand,30,2010,2010,4.9,23.586,181.0,3.5,0.389,2,032.A2,True,2010-08-17T00:00:00,"[{'KdbID': 4074, 'Tittel': 'Jøssang kraftverk'}, {'KdbID': 7554, 'Tittel': 'Omgjøring av konsesjon - retting av manøvreringsreglement - Dalavatn i Jørpelandsåna'}]",Idrift,,,Jørpelandsåna,02,157,False,,4,NVE - område: 4
1558,Dalsbekken,Kraftverk,K,MYKLEBUSTDALEN ENERGI AS,988967246,Vestland,46,Kvinnherad,17,2010,2010,0.7,1.627,434.0,0.2,0.972,2,045.31Z,True,2010-04-13T00:00:00,"[{'KdbID': 5285, 'Tittel': 'Dalsbekken minikraftverk'}]",Idrift,,,Storelva,,186,False,,5,NVE - område: 5
57,Dalsfos Øst,Kraftverk,K,SKAGERAK KRAFT AS,979563531,Telemark ,40,Kragerø,14,1907,2021,7.6,35.514,22.0,40.0,0.053,2,017.B,True,2021-11-18T00:00:00,"[{'KdbID': 610, 'Tittel': 'Ny ervervskonsesjon for Dalsfoss, Tveitereidfoss og Solumsfoss'}, {'KdbID': 809, 'Tittel': 'Erverv av vannfall i Kragerøvassdraget'}, {'KdbID': 7332, 'Tittel': 'Dalsfos kraftverk Øst'}]",Idrift,,,Kragerøvassdraget,05,096,False,,3,NVE - område: 3
359,Dalvatn,Kraftverk,K,Aktieselskabet Saudefaldene,915729290,Rogaland,11,Sauda,35,1978,1978,35.4,174.284,185.0,22.1,0.445,2,037.B9,True,1978-01-01T00:00:00,"[{'KdbID': 1099, 'Tittel': 'Utbygging, regulering, overf. m.v. i Saudavassdraget m.fl, Rogaland'}]",Idrift,,,Saudavassdraget,03,170,False,,5,NVE - område: 5
1366,Dauremål,Kraftverk,K,SFE PRODUKSJON AS,984882106,Vestland,46,Bremanger,48,2007,2007,4.95,15.083,172.35,3.3,0.417,3,086.7B,True,2007-06-04T00:00:00,"[{'KdbID': 3706, 'Tittel': 'Dauremål og Bjørndalen kraftverk'}]",Idrift,,,Vestre yksneelva,03,364,False,,13,NVE - område: 13
1068,Deilbekken,Kraftverk,K,SVEIN MORTEN SYDTVEIT,884782562,Telemark ,40,Drangedal,16,2005,2005,0.027,0.112,,,,2,017.FA0,True,2005-01-01T00:00:00,"[{'KdbID': 4120, 'Tittel': 'Deilbekkraft mikrokraftverk'}]",Idrift,,,Kragerøvassdraget,,096,False,,3,NVE - område: 3
1502,Deveggåe,Kraftverk,K,SMÅKRAFT USPP 1 AS,928613313,Buskerud,33,Nore og Uvdal,38,2011,2011,2.997,7.323,395.0,0.8,1.041,5,015.JB61C,True,2011-04-15T00:00:00,"[{'KdbID': 4409, 'Tittel': 'Deveggåe kraftverk'}]",Idrift,,,Numedalslågen,30,073,False,,2,NVE - område: 2
1253,Dirdal,Kraftverk,K,DIRDAL KRAFT AS,976921259,Rogaland,11,Gjesdal,22,2007,2007,1.6,7.422,413.0,0.454,0.92,2,030.21Z,True,2007-07-11T00:00:00,"[{'KdbID': 2182, 'Tittel': 'Dirdal kr.st reg.av Stølsvatn'}]",Idrift,,,Stølsvatnbekken,01,148,False,,4,NVE - område: 4
1620,Dittielva,Kraftverk,K,NORDIC POWER AS,914341183,Troms,55,Bardu,20,2012,2012,5.6,10.678,283.5,2.46,0.632,4,196.AC5Z,True,2012-11-06T00:00:00,"[{'KdbID': 4678, 'Tittel': 'Dittielva kraftverk'}]",Idrift,,,Målselvvassdraget,07,791,False,,11,NVE - område: 11
58,Dividalen,Kraftverk,K,TROMS KRAFT PRODUKSJON AS,979152116,Troms,55,Målselv,24,1972,1972,26.0,133.648,278.5,11.59,0.623,4,196.DA2,True,1972-12-18T00:00:00,"[{'KdbID': 366, 'Tittel': 'Erverv av bruksrett til fall i Devdiselven og Divielven m.v.'}, {'KdbID': 743, 'Tittel': 'Overdragelse av reguleringstillatelser m.v. - Troms kraftforsyning'}, {'KdbID': 875, 'Tittel': 'Regulering av Devdisvatn m.v.'}]",Idrift,,,Målselvvassdraget,11,791,False,,11,NVE - område: 11
59,Djupdal,Kraftverk,K,Å ENERGI VANNKRAFT AS,882973972,Buskerud,33,Rollag,36,1976,1976,14.3,77.28,16.0,120.0,0.037,1,015.G21,True,1976-12-21T00:00:00,"[{'KdbID': 215, 'Tittel': 'Erverv, ekspropr. og utbygging av Djupdalsfallene i Numedalslågen'}]",Idrift,,,Numedalslågen,17,073,False,,1,NVE - område: 1
60,Djupfjord I,Kraftverk,K,VESTERÅLSKRAFT PRODUKSJON AS,977044863,Nordland,18,Sortland – Suortá,70,1952,1952,5.1,20.309,146.0,4.0,0.354,4,178.44A,True,1952-01-01T00:00:00,"[{'KdbID': 114, 'Tittel': 'Ytterligere regulering av Djupfjordvassdraget, overføringer'}, {'KdbID': 147, 'Tittel': 'Regulering av Djupfjordvassdraget m.v i Sortland'}, {'KdbID': 1110, 'Tittel': 'Reg. av Djupfjordvassdraget - Planendring og fristforl.'}]",Idrift,,,Djupfjordelva,01,757,False,,11,NVE - område: 11
61,Djupfjord II,Kraftverk,K,VESTERÅLSKRAFT PRODUKSJON AS,977044863,Nordland,18,Sortland – Suortá,70,1957,1957,2.6,9.767,109.0,3.29,0.218,4,178.44B,True,1957-01-01T00:00:00,"[{'KdbID': 114, 'Tittel': 'Ytterligere regulering av Djupfjordvassdraget, overføringer'}, {'KdbID': 1110, 'Tittel': 'Reg. av Djupfjordvassdraget - Planendring og fristforl.'}, {'KdbID': 1855, 'Tittel': 'Tilleggsregulering av Beibarnvatn ved Djupfjord II kr.v. Hinnøy'}]",Idrift,,,Djupfjordelva,02,757,False,,11,NVE - område: 11
1095,Djupvika,Kraftverk,K,,,Finnmark,56,Alta,01,2001,2001,0.038,0.206,,,,4,213.11,True,2001-01-01T00:00:00,"[{'KdbID': 2679, 'Tittel': 'Mikrokraftverk i Arnebyvatnet'}]",Idrift,,,KYSTFELT,,999,False,,12,NVE - område: 12
1191,Djupå,Kraftverk,K,DJUPÅ EINAR,969636905,Trøndelag,50,Hitra,56,1998,1998,0.008,0.05,,,,3,119.74,True,1998-01-01T00:00:00,"[{'KdbID': 2329, 'Tittel': 'Mikrokraftverk i Djupåelva'}]",Idrift,,,KYSTFELT,,999,False,,8,NVE - område: 8
1016,Djuv,Kraftverk,K,,,Rogaland,11,Sauda,35,2009,2009,0.045,0.049,,,,2,037.32,True,2009-01-01T00:00:00,"[{'KdbID': 2651, 'Tittel': 'Jehansholmen mikrokraftverk'}]",Idrift,,,KYSTFELT,,999,False,,5,NVE - område: 5
537,Dokka,Kraftverk,K,HAFSLUND KRAFT AS,976894677,Innlandet,34,Søndre Land,47,1989,1989,44.6,170.718,130.0,41.02,0.301,1,012.EC72,True,1989-12-14T00:00:00,"[{'KdbID': 644, 'Tittel': 'Utbygging av Dokkavassdraget, erverv, regulering, utbygging m.v.'}, {'KdbID': 651, 'Tittel': 'Utbygging av Dokkavassdraget, Planendring installasjonsøkning'}]",Idrift,,,Drammensvassdraget,16,043,False,,1,NVE - område: 1
1582,Dokkelva,Kraftverk,K,SMÅKRAFT AS,984616155,Møre og Romsdal,15,Molde,06,2012,2012,5.49,13.032,143.0,4.8,0.318,3,104.3Z,True,2012-03-29T00:00:00,"[{'KdbID': 4600, 'Tittel': 'Dokkelva kraftverk'}]",Idrift,,,Kvanndalselva,01,441,False,,8,NVE - område: 8
62,Dragefossen,Kraftverk,K,DRAGEFOSSEN AS,911204177,Nordland,18,Saltdal,40,1987,1987,3.3,7.455,100.0,3.79,0.24,4,163.A1A,True,1987-02-13T00:00:00,[],Idrift,,,Saltdalsvassdraget,51,694,False,,10,NVE - område: 10
1014,Drarvik,Kraftverk,K,,,Rogaland,11,Suldal,34,2000,2000,0.022,0.055,,,,2,036.32,True,2000-01-01T00:00:00,"[{'KdbID': 2546, 'Tittel': 'Mikrokraftverk Drarvik'}]",Idrift,,,KYSTFELT,,999,False,,3,NVE - område: 3
1727,Draura,Kraftverk,K,TUSSA ENERGI AS,876795442,Møre og Romsdal,15,Volda,77,2013,2013,2.5,5.713,206.2,1.5,0.463,3,097.322Z,True,2013-01-29T00:00:00,"[{'KdbID': 4851, 'Tittel': 'Draura kraftverk'}]",Idrift,,,Viddalselva,02,410,False,,8,NVE - område: 8
1866,Dravlaus,Kraftverk,K,DRAVLAUS KRAFT AS,915183530,Møre og Romsdal,15,Volda,77,2016,2016,4.18,12.534,236.0,2.1,0.553,3,094.12Z,True,2016-11-17T00:00:00,"[{'KdbID': 5374, 'Tittel': 'Dravlaus kraftverk'}]",Idrift,,,Dravlauselva,,999,False,,13,NVE - område: 13
63,Driva,Kraftverk,K,DRIVA KRAFTVERK DA,947590618,Møre og Romsdal,15,Sunndal,63,1973,1973,140.0,581.302,565.59,30.01,1.296,3,109.B20,True,1973-04-06T00:00:00,"[{'KdbID': 160, 'Tittel': 'Erverv av fall, overf. av reg.till. og ekspr. av fall i Driva m.v.'}, {'KdbID': 232, 'Tittel': 'Regulering og overf. for utbygging av Driva kraftv. (Festa-Vindøla)'}, {'KdbID': 343, 'Tittel': 'Utbygging av Driva kraftverk - Planedring og ytterl. overføring'}, {'KdbID': 3462, 'Tittel': 'Endring av man.reg. for Driva kraftverk'}, {'KdbID': 9455, 'Tittel': 'Søknad om midlertidig fravik fra manøvreringsreglementet - Driva\xa0kraftverk\xa0- 15.07.2024 til 05.09.2024'}]",Idrift,,,Driva,41,449,False,,8,NVE - område: 8
1406,Drivdal,Kraftverk,K,DALANE KRAFT AS,982388406,Rogaland,11,Lund,12,2008,2008,2.3,8.292,103.2,2.5,0.256,2,026.B2A,True,2008-04-14T00:00:00,"[{'KdbID': 3817, 'Tittel': 'Drivdal kraftverk'}]",Idrift,,,Sira,71,132,False,,4,NVE - område: 4
1087,Drivdalselva,Kraftverk,K,VELLE KRAFT AS,983640451,Møre og Romsdal,15,Sykkylven,28,2002,2002,0.35,1.215,,,,3,097.7C,True,2002-01-01T00:00:00,"[{'KdbID': 2961, 'Tittel': 'Drivdalselva minikraftverk'}]",Idrift,,,Velledalselva,,999,False,,8,NVE - område: 8
2077,Drøllstølsbekken,Kraftverk,K,DB KRAFTVERK AS,928095150,Vestland,46,Eidfjord,19,2024,2024,3.84,9.5,171.5,2.62,0.407,5,050.C1B,True,2024-05-07T00:00:00,"[{'KdbID': 6662, 'Tittel': 'Drøllstølsbekken kraftverk'}]",Idrift,,,Eidfjordvassdraget,05,222,False,,2,NVE - område: 2
64,Duge,Pumpekraftverk,PK,SIRA KVINA KRAFTSELSKAP,954090493,Rogaland,11,Sandnes,08,1979,1979,200.0,206.053,220.0,99.91,0.555,2,026.M,True,1979-03-01T00:00:00,"[{'KdbID': 347, 'Tittel': 'Endring av tillatelse til regulering av Sira-Kvinavassdragene'}, {'KdbID': 918, 'Tittel': 'Reguleringer og overføringer i Sira-Kvinavassdragene'}, {'KdbID': 2056, 'Tittel': 'Erv. av 3,3 av statens prosentand. i Sira-Kvina krv.'}]",Idrift,,,Sira,32,132,False,,4,NVE - område: 4
2029,Duvedalen,Kraftverk,K,SMÅKRAFT GREEN BOND 2 AS,825750932,Vestland,46,Gulen,35,2020,2020,3.3,9.747,270.5,1.5,0.611,5,069.3Z,True,2020-12-11T00:00:00,"[{'KdbID': 4503, 'Tittel': 'Duvedalen kraftverk'}, {'KdbID': 7109, 'Tittel': 'Planendring Duvedalen kraftverk'}]",Idrift,,,Fjordselva,,999,False,,6,NVE - område: 6
2007,Dvergfossen,Kraftverk,K,DVERGFOSSEN KRAFT AS,921673000,Agder,42,Kvinesdal,27,2021,2021,9.4,33.692,49.6,23.3,0.112,2,025.AA1,True,2021-12-27T00:00:00,"[{'KdbID': 6128, 'Tittel': 'Dvergfossen kraftverk'}, {'KdbID': 8126, 'Tittel': 'Dvergfossen kraftverk - planendring'}]",Idrift,,,Kvina,01,127,False,,4,NVE - område: 4
1574,Dvergsdalsdalen,Kraftverk,K,DVERGSDALSDALEN KRAFTVERK AS,994193953,Vestland,46,Sunnfjord,47,2010,2010,2.0,6.963,285.0,0.85,0.654,3,084.E3Z,True,2010-11-17T00:00:00,"[{'KdbID': 4211, 'Tittel': 'Dvergsdalsdalen kraftverk'}, {'KdbID': 7639, 'Tittel': 'Dvergsdalsdalen kraftverk - økt effekt og slukeevne'}]",Idrift,,,Jølstra,23,346,False,,13,NVE - område: 13
1606,Dversetelva,Kraftverk,K,DRAGEFOSSEN AS,911204177,Nordland,18,Saltdal,40,2011,2011,3.68,9.328,108.75,4.08,0.251,4,163.2Z,True,2011-06-07T00:00:00,"[{'KdbID': 5168, 'Tittel': 'Dversetelva kraftverk'}]",Idrift,,,Dversetelva,01,692,False,,10,NVE - område: 10
65,Dynjanfoss,Kraftverk,K,Å ENERGI VANNKRAFT AS,882973972,Telemark ,40,Nissedal,30,1951,1951,33.0,176.651,80.19,47.99,0.191,2,019.DA3,True,1951-10-31T00:00:00,"[{'KdbID': 1834, 'Tittel': 'Utb. av Dynjanfoss. i Arendalsvassdraget.'}, {'KdbID': 9575, 'Tittel': 'Søknad - Midlertidig fravik fra manøvreringsreglementet - Dynjanfoss\xa0kraftverk\xa0-\xa0Å ENERGI VANNKRAFT AS - Fravik fra minstevannføring;  - 03.02.2025 til 28.02.2025- Referansenr:DTJCWC'}]",Idrift,,,Arendalsvassdraget,32,105,False,,3,NVE - område: 3
899,Dyrbakk,Kraftverk,K,MODUM KRAFTPRODUKSJON KF,971030674,Buskerud,33,Modum,16,1913,1913,0.57,2.643,,,,1,012.D52,True,1913-07-01T00:00:00,[],Idrift,,,Drammensvassdraget,,043,False,,1,NVE - område: 1
1999,Dyrdalselva,Kraftverk,K,DYRDAL KRAFT AS,911605473,Vestland,46,Høyanger,38,2021,2021,3.3,9.4,219.0,1.8,0.509,5,070.11Z,True,2021-03-20T00:00:00,"[{'KdbID': 5988, 'Tittel': 'Dyrdalselva kraftverk'}]",Idrift,,,Dyrdalselva,,999,False,,6,NVE - område: 6
977,Dyrhovden,Kraftverk,K,DYRHOVDEN ENERGI,979813015,Vestland,46,Samnanger,23,1998,1998,0.069,0.35,,,,5,055.B4,True,1998-01-01T00:00:00,"[{'KdbID': 2300, 'Tittel': 'Mikrokraftverk i Tverrlielva'}]",Idrift,,,Samnangervassdraget,,246,False,,6,NVE - område: 6
2089,Dyrkolbotn,Kraftverk,K,NIPO KRAFT AS,985479321,Vestland,46,Alver,31,2025,2025,2.6,10.0,120.0,2.65,0.273,5,064.4Z,True,2025-01-10T00:00:00,"[{'KdbID': 5375, 'Tittel': 'Dyrkolbotn kraftverk'}]",Idrift,,,Romarheimselvi,02,269,False,,6,NVE - område: 6
1616,Dyrkorn,Kraftverk,K,TAFJORD KRAFTPRODUKSJON AS,977461898,Møre og Romsdal,15,Fjord,78,2011,2011,2.8,7.726,220.8,1.5,0.519,3,100.31Z,True,2011-05-31T00:00:00,"[{'KdbID': 4629, 'Tittel': 'Dyrkorn kraftverk'}]",Idrift,,,Dyrkornelva,01,420,False,,8,NVE - område: 8
66,Dyrnesli,Kraftverk,K,VADHEIM KRAFT AS,813442612,Vestland,46,Høyanger,38,1907,1907,6.5,52.02,314.0,2.59,0.697,3,080.22A,True,1907-09-01T00:00:00,"[{'KdbID': 816, 'Tittel': 'Erverv av Dyrneslielven m.v. i Kirkebø'}, {'KdbID': 1684, 'Tittel': 'Erverv av 2500 hk. i Dyrneslielven.'}, {'KdbID': 6093, 'Tittel': 'Revisjon av konsesjonsvilkår - Dyrneslivassdr, Vadheim'}, {'KdbID': 7723, 'Tittel': 'Ervervskonsesjon - Dyrnesli kraftverk'}]",Idrift,,,Dyrneslielva,01,330,False,,13,NVE - område: 13
904,Dyrstad,Kraftverk,K,DYRSTAD KRAFT AS,927344718,Vestland,46,Bremanger,48,1999,1999,0.99,4.822,265.0,0.44,0.625,3,086.22,True,1999-01-01T00:00:00,"[{'KdbID': 2892, 'Tittel': 'Dyrstad kraftverk'}]",Idrift,,,KYSTFELT,,999,False,,13,NVE - område: 13
1570,Døla,Kraftverk,K,CHR SALVESEN & CHR THAMS'S COMMUNICATIONS AKTIESELSKAB,915640850,Trøndelag,50,Steinkjer,06,2011,2011,2.1,5.085,169.0,1.4,0.417,3,128.3A2C,True,2011-03-01T00:00:00,"[{'KdbID': 5278, 'Tittel': 'Døla småkraftverk'}]",Idrift,,,Figga,01,516,False,,9,NVE - område: 9
872,Døsen,Kraftverk,K,,,Vestland,46,Luster,44,2004,2004,0.09,0.377,,,,5,075.6A,True,2004-01-01T00:00:00,"[{'KdbID': 3205, 'Tittel': 'Døsen mikrokraftverk'}]",Idrift,,,Døsagrovi,,310,False,,7,NVE - område: 7
1048,Døvik,Kraftverk,K,DØVIK KRAFT AS,985904057,Rogaland,11,Strand,30,2004,2004,0.735,2.047,265.0,0.307,,2,033.13,True,2004-01-01T00:00:00,"[{'KdbID': 3415, 'Tittel': 'Døvik 1, Minikraftverk i Paddevassåna'}]",Idrift,,,KYSTFELT,,999,False,,4,NVE - område: 4
67,Døvikfoss,Kraftverk,K,Å ENERGI VANNKRAFT AS,882973972,Buskerud,33,Modum,16,1975,1975,15.0,111.667,6.09,297.61,0.014,1,012.B63,True,1975-04-10T00:00:00,"[{'KdbID': 95, 'Tittel': 'Erverv av fallrettigheter i Døvikfoss i Modum'}, {'KdbID': 138, 'Tittel': 'Erverv av Døvikfoss m.v. i Modum og Øvre Eiker'}, {'KdbID': 421, 'Tittel': 'Erverv og ekspr. for bygging av Døvikfoss kraftverk'}, {'KdbID': 7652, 'Tittel': 'Døvikfoss kraftverk - installasjon av nytt løpehjul'}]",Idrift,,,Drammensvassdraget,03,043,False,,1,NVE - område: 1
1285,Efteland,Kraftverk,K,EFTELAND KRAFTVERK AS,927185776,Rogaland,11,Eigersund,01,2006,2006,0.2,0.634,,,,2,027.3C0,True,2006-12-07T00:00:00,"[{'KdbID': 3907, 'Tittel': 'Epteland mikrokraftverk'}]",Idrift,,,Hellelandselva,,999,False,,4,NVE - område: 4
1136,Eftestøl,Kraftverk,K,EFTESTØL Ole Tom,969095335,Agder,42,Kvinesdal,27,2000,2000,0.4,1.411,,,,2,025.AC4Z,True,2000-01-01T00:00:00,[],Idrift,,,Kvina,,127,False,,4,NVE - område: 4
1378,Egge,Kraftverk,K,MIDT KRAFT AS,931652176,Vestland,46,Gloppen,50,2007,2007,5.0,18.95,322.0,1.8,0.772,3,087.D4A,True,2007-03-21T00:00:00,"[{'KdbID': 4092, 'Tittel': 'Egge kraftverk'}]",Idrift,,,Breimsvassdraget,06,369,False,,13,NVE - område: 13
777,Eid,Kraftverk,K,HAFSLUND KRAFT AS,976894677,Innlandet,34,Sør-Aurdal,49,2000,2000,9.6,55.207,12.5,85.0,0.031,1,012.H51,True,2000-07-07T00:00:00,"[{'KdbID': 239, 'Tittel': 'Eidsfossen i Begna'}, {'KdbID': 2349, 'Tittel': 'Eid krv. planendr - S-Aurdal komm Oppland'}]",Idrift,,,Drammensvassdraget,30,043,False,,1,NVE - område: 1
1553,Eide,Kraftverk,K,EIRIK M EIDE,981950275,Vestland,46,Fitjar,15,2008,2008,0.09,0.286,210.0,0.052,0.481,2,044.1,True,2008-01-07T00:00:00,"[{'KdbID': 3891, 'Tittel': 'Eide mikrokraftverk'}]",Idrift,,,KYSTFELT,,999,False,,5,NVE - område: 5
68,Eidefossen,Kraftverk,K,EIDEFOSS VANNKRAFT AS,923354220,Innlandet,34,Vågå,35,1983,1983,13.2,32.396,18.89,93.83,0.039,3,002.DHA42,True,1983-06-23T00:00:00,"[{'KdbID': 81, 'Tittel': 'Erverv av Eidefossen i Vågå - Vilkår om konsesjon på ubegrenset tid'}, {'KdbID': 460, 'Tittel': 'Tillatelse til å bygge og drive et nytt Eidefossen kraftverk i Vågå'}, {'KdbID': 489, 'Tittel': 'Erverv av Eidefossen i Vågå'}, {'KdbID': 3319, 'Tittel': 'Erv. fall og heving av inntaksdam for Eidefossen kraftverk'}]",Idrift,,,Glommavassdraget,41,005,False,,8,NVE - område: 8
69,Eidesfossen,Kraftverk,K,HARDANGER ENERGI AS,983502601,Vestland,46,Ullensvang,18,1954,1954,3.8,11.88,70.0,6.8,0.155,5,047.2B0,True,1954-01-01T00:00:00,"[{'KdbID': 2644, 'Tittel': 'Eidesfoss kr.verk Jondal Energiverk'}]",Idrift,,,Jondalselvi,01,208,False,,6,NVE - område: 6
